"","id","name","hisp","non.hisp","pop","zonal.hisp","zonal.almost.hisp","zonal.non.hisp","per.capita","white.per.capita","black.per.capita","native.american.per.capita","asian.per.capita","pacific.islander.per.capita","other.per.capita","two.races.per.capita","hisp.per.capita","non.hisp.per.capita","pov","pov.m","pov.f","non.pov","non.pov.m","non.pov.f","pov.white","pov.white.m","pov.white.f","non.pov.white","non.pov.white.m","non.pov.white.f","pov.black","pov.black.m","pov.black.f","non.pov.black","non.pov.black.m","non.pov.black.f","pov.native","pov.native.m","pov.native.f","non.pov.native","non.pov.native.m","non.pov.native.f","pov.asian","pov.asian.m","pov.asian.f","non.pov.asian","non.pov.asian.m","non.pov.asian.f","pov.pacific","pov.pacific.m","pov.pacific.f","non.pov.pacific","non.pov.pacific.m","non.pov.pacific.f","pov.other","pov.other.m","pov.other.f","non.pov.other","non.pov.other.m","non.pov.other.f","pov.mixed","pov.mixed.m","pov.mixed.f","non.pov.mixed","non.pov.mixed.m","non.pov.mixed.f","pov.whitenonhisp","pov.whitenonhisp.m","pov.whitenonhisp.f","non.pov.whitenonhisp","non.pov.whitenonhisp.m","non.pov.whitenonhisp.f","pov.hisp","pov.hisp.m","pov.hisp.f","non.pov.hisp","non.pov.hisp.m","non.pov.hisp.f","above.25.est","male.est","less.than.high.m","high.m","some.college.m","bach.or.high.m","female.est","less.than.high.f","high.f","some.college.f","bach.or.high.f","above.25.est.white","male.est.white.","less.than.high.m.white","high.m.white","some.college.m.white","bach.or.high.m.white","female.est.white","less.than.high.f.white","high.f.white","some.college.f.white","bach.or.high.f.white","above.25.est.black","male.est.black","less.than.high.m.black","high.m.black","some.college.m.black","bach.or.high.m.black","female.est.black","less.than.high.f.black","high.f.black","some.college.f.black","bach.or.high.f.black","above.25.est.native","male.est.native","less.than.high.m.native","high.m.native","some.college.m.native","bach.or.high.m.native","female.est.native","less.than.high.f.native","high.f.native","some.college.f.native","bach.or.high.f.native","above.25.est.asian","male.est.asian","less.than.high.m.asian","high.m.asian","some.college.m.asian","bach.or.high.m.asian","female.est.asian","less.than.high.f.asian","high.f.asian","some.college.f.asian","bach.or.high.f.asian","above.25.est.pacific","male.est.pacific","less.than.high.m.pacific","high.m.pacific","some.college.m.pacific","bach.or.high.m.pacific","female.est.pacific","less.than.high.f.pacific","high.f.pacific","some.college.f.pacific","bach.or.high.f.pacific","above.25.est.other","male.est.other","less.than.high.m.other","high.m.other","some.college.m.other","bach.or.high.m.other","female.est.other","less.than.high.f.other","high.f.other","some.college.f.other","bach.or.high.f.other","above.25.est.mixed","male.est.mixed","less.than.high.m.mixed","high.m.mixed","some.college.m.mixed","bach.or.high.m.mixed","female.est.mixed","less.than.high.f.mixed","high.f.mixed","some.college.f.mixed","bach.or.high.f.mixed","above.25.est.whitenonhisp","male.est.whitenonhisp","less.than.high.m.whitenonhisp","high.m.whitenonhisp","some.college.m.whitenonhisp","bach.or.high.m.whitenonhisp","female.est.whitenonhisp","less.than.high.f.whitenonhisp","high.f.whitenonhisp","some.college.f.whitenonhisp","bach.or.high.f.whitenonhisp","above.25.est.hisp","male.est.hisp","less.than.high.m.hisp","high.m.hisp","some.college.m.hisp","bach.or.high.m.hisp","female.est.hisp","less.than.high.f.hisp","high.f.hisp","some.college.f.hisp","bach.or.high.f.hisp"
"1",18001030100,"Census Tract 301, Adams County, Indiana",179,4558,4737,0,0,1,24427,25178,NA,NA,NA,NA,11596,5851,14963,25448,453,272,181,4127,2144,1983,384,242,142,3994,2088,1906,25,0,25,24,5,19,0,0,0,0,0,0,0,0,0,12,0,12,0,0,0,0,0,0,0,0,0,48,25,23,44,30,14,49,26,23,384,242,142,3865,2021,1844,0,0,0,177,92,85,3102,1594,154,820,422,198,1508,78,613,601,216,3102,1594,154,820,422,198,1508,78,613,601,216,19,0,0,0,0,0,19,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,7,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,29,14,4,0,10,0,15,5,0,10,0,28,12,0,0,12,0,16,0,0,0,16,3044,1567,154,812,403,198,1477,67,599,595,216,87,41,4,8,29,0,46,16,14,16,0
"2",18001030200,"Census Tract 302, Adams County, Indiana",408,4563,4971,0,0,1,21927,22346,NA,14020,NA,NA,14733,17631,14687,22623,684,321,363,4288,2254,2034,653,300,353,4023,2114,1909,11,11,0,0,0,0,0,0,0,60,44,16,0,0,0,9,0,9,0,0,0,0,0,0,20,10,10,70,9,61,0,0,0,126,87,39,584,268,316,3829,1995,1834,89,42,47,364,202,162,3406,1703,228,741,502,232,1703,258,666,589,190,3406,1703,228,741,502,232,1703,258,666,589,190,0,0,0,0,0,0,0,0,0,0,0,60,44,44,0,0,0,16,0,16,0,0,9,0,0,0,0,0,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,10,10,0,0,0,58,10,16,32,0,70,57,0,20,37,0,13,0,0,0,13,3239,1612,196,719,465,232,1627,221,652,564,190,279,145,86,22,37,0,134,47,30,57,0
"3",18001030300,"Census Tract 303, Adams County, Indiana",425,5081,5506,0,0,1,17764,17689,NA,NA,NA,NA,29545,17509,15127,18128,1111,448,663,4303,2130,2173,1111,448,663,4005,1989,2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,30,10,0,0,0,258,111,147,1003,409,594,3829,1892,1937,108,39,69,451,223,228,3394,1594,221,749,505,119,1800,231,887,481,201,3394,1594,221,749,505,119,1800,231,887,481,201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,30,25,0,5,0,10,0,0,10,0,119,47,0,47,0,0,72,0,60,12,0,3199,1497,178,703,497,119,1702,231,789,481,201,354,174,68,93,13,0,180,0,158,22,0
"4",18001030400,"Census Tract 304, Adams County, Indiana",74,3326,3400,0,0,1,22559,22675,NA,NA,NA,NA,NA,NA,NA,22675,182,85,97,3079,1454,1625,182,85,97,3029,1420,1609,0,0,0,9,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,0,0,0,0,32,25,7,182,85,97,3029,1420,1609,0,0,0,41,34,7,2090,1001,120,527,185,169,1089,115,574,240,160,2090,1001,120,527,185,169,1089,115,574,240,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,9,0,0,0,0,0,0,0,0,7,0,0,0,0,0,7,0,7,0,0,2090,1001,120,527,185,169,1089,115,574,240,160,16,9,9,0,0,0,7,0,7,0,0
"5",18001030500,"Census Tract 305, Adams County, Indiana",55,6015,6070,0,0,1,13518,13519,NA,NA,NA,NA,NA,NA,NA,13525,1365,656,709,4693,2394,2299,1365,656,709,4684,2385,2299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,1365,656,709,4676,2377,2299,0,0,0,8,8,0,2855,1439,638,401,300,100,1416,388,583,295,150,2855,1439,638,401,300,100,1416,388,583,295,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2853,1437,638,401,298,100,1416,388,583,295,150,2,2,0,0,2,0,0,0,0,0,0
"6",18001030600,"Census Tract 306, Adams County, Indiana",163,3249,3412,0,0,1,17322,17360,NA,NA,34785,NA,NA,14415,NA,17387,560,303,257,2945,1470,1475,543,293,250,2818,1381,1437,17,10,7,0,0,0,0,0,0,0,0,0,0,0,0,26,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,89,12,543,293,250,2792,1368,1424,0,0,0,26,13,13,2024,904,88,393,275,148,1120,58,485,453,124,2024,904,88,393,275,148,1120,58,485,453,124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,26,0,16,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1998,891,75,393,275,148,1107,45,485,453,124,26,13,13,0,0,0,13,13,0,0,0
"7",18001030700,"Census Tract 307, Adams County, Indiana",108,6183,6291,0,0,1,18674,18764,NA,NA,NA,NA,NA,NA,4922,18935,1141,462,679,4754,2307,2447,1121,442,679,4737,2296,2441,20,20,0,12,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,1064,428,636,4721,2282,2439,57,14,43,16,14,2,3290,1489,387,538,322,242,1801,473,619,496,213,3290,1489,387,538,322,242,1801,473,619,496,213,6,3,0,3,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3288,1487,387,536,322,242,1801,473,619,496,213,2,2,0,2,0,0,0,0,0,0,0
"8",18003000100,"Census Tract 1, Allen County, Indiana",83,2275,2358,0,0,1,19414,19544,20020,NA,NA,NA,NA,NA,NA,19827,387,134,253,2249,1188,1061,379,134,245,1969,1026,943,8,0,8,244,143,101,0,0,0,8,4,4,0,0,0,3,2,1,0,0,0,0,0,0,0,0,0,22,12,10,0,0,0,3,1,2,379,134,245,1881,938,943,0,0,0,88,88,0,1530,689,67,213,262,147,841,44,329,350,118,1530,689,67,213,262,147,841,44,329,350,118,110,51,0,0,51,0,59,0,8,51,0,4,0,0,0,0,0,4,0,0,0,4,3,2,0,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,22,12,0,12,0,0,10,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,1494,653,67,177,262,147,841,44,329,350,118,36,36,0,36,0,0,0,0,0,0,0
"9",18003000300,"Census Tract 3, Allen County, Indiana",169,3129,3298,0,0,1,22483,23862,24271,NA,NA,NA,NA,1811,19514,23678,520,229,291,2853,1380,1473,295,109,186,2756,1328,1428,11,11,0,82,37,45,0,0,0,15,15,0,146,77,69,0,0,0,0,0,0,0,0,0,21,13,8,0,0,0,47,19,28,0,0,0,295,109,186,2713,1320,1393,40,13,27,43,8,35,2006,925,35,272,283,335,1081,109,225,373,374,2006,925,35,272,283,335,1081,109,225,373,374,73,48,22,26,0,0,25,0,0,10,15,15,15,0,0,0,15,0,0,0,0,0,60,28,28,0,0,0,32,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,9,0,0,9,0,1981,925,35,272,283,335,1056,109,225,373,349,25,0,0,0,0,0,25,0,0,0,25
"10",18003000400,"Census Tract 4, Allen County, Indiana",129,2440,2569,0,0,1,19973,20924,13889,NA,NA,NA,NA,NA,8206,20961,419,232,187,2174,1221,953,394,216,178,1949,1112,837,0,0,0,149,75,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,25,0,25,16,9,51,9,42,394,216,178,1920,1090,830,25,16,9,69,53,16,1523,812,45,250,314,203,711,40,239,294,138,1523,812,45,250,314,203,711,40,239,294,138,73,48,8,23,17,0,25,17,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,25,0,25,0,0,0,0,0,0,0,22,3,0,0,0,3,19,0,0,19,0,1513,802,45,250,304,203,711,40,239,294,138,35,35,0,25,10,0,0,0,0,0,0
