Id,Id2,geog,hisp,non.hisp,mex,pue.ric,cub,dom,cent.amer,cos.ric,guate,hondu,nicar,pana,salva,other.cent.amer,sou.amer,argen,boli,chil,colo,ecua,parag,peru,urug,vene,other.sou.amer,other.hisp,spaniard,spanish,span.amer,all.other
1400000US18001030100,18001030100,"Census Tract 301, Adams County, Indiana",179,4558,173,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2,0,0,0,2
1400000US18001030200,18001030200,"Census Tract 302, Adams County, Indiana",408,4563,357,7,1,0,3,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,40,4,1,1,34
1400000US18001030300,18001030300,"Census Tract 303, Adams County, Indiana",425,5081,378,9,0,1,6,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,31,2,1,4,24
1400000US18001030400,18001030400,"Census Tract 304, Adams County, Indiana",74,3326,65,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,7,0,3,0,4
1400000US18001030500,18001030500,"Census Tract 305, Adams County, Indiana",55,6015,40,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,13,0,3,0,10
1400000US18001030600,18001030600,"Census Tract 306, Adams County, Indiana",163,3249,127,11,0,0,11,1,1,7,0,0,2,0,1,0,0,0,0,0,0,1,0,0,0,13,0,3,0,10
1400000US18001030700,18001030700,"Census Tract 307, Adams County, Indiana",108,6183,89,6,0,0,6,1,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,1,0,6
1400000US18003000100,18003000100,"Census Tract 1, Allen County, Indiana",83,2275,68,4,0,0,6,0,5,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,4,1,1,2,0
1400000US18003000300,18003000300,"Census Tract 3, Allen County, Indiana",169,3129,126,4,2,0,6,0,3,3,0,0,0,0,22,1,0,0,1,12,0,7,0,1,0,9,2,0,0,7
1400000US18003000400,18003000400,"Census Tract 4, Allen County, Indiana",129,2440,104,5,1,1,0,0,0,0,0,0,0,0,4,0,0,0,2,0,0,1,0,1,0,14,6,1,0,7
1400000US18003000500,18003000500,"Census Tract 5, Allen County, Indiana",307,2638,245,5,0,0,9,0,0,2,4,0,3,0,22,0,0,0,3,17,0,2,0,0,0,26,7,4,0,15
1400000US18003000600,18003000600,"Census Tract 6, Allen County, Indiana",223,1752,164,8,0,2,13,0,5,8,0,0,0,0,16,0,0,0,0,11,0,0,5,0,0,20,2,2,0,16
