id,per.capita,white.per.capita,black.per.capita,native.american.per.capita,asian.per.capita,pacific.islander.per.capita,other.per.capita,two.races.per.capita,hisp.per.capita,non.hisp.per.capita
18001030100,24427,25178,N,-,N,-,11596,5851,14963,25448
18001030200,21927,22346,N,14020,N,-,14733,17631,14687,22623
18001030300,17764,17689,-,-,-,-,29545,17509,15127,18128
18001030400,22559,22675,N,-,-,-,N,N,N,22675
18001030500,13518,13519,-,-,N,-,-,-,N,13525
18001030600,17322,17360,N,-,34785,-,-,14415,N,17387
18001030700,18674,18764,N,-,-,-,-,-,4922,18935
18003000100,19414,19544,20020,N,N,-,N,N,N,19827
18003000300,22483,23862,24271,N,-,-,N,1811,19514,23678
18003000400,19973,20924,13889,-,-,-,N,N,8206,20961
18003000500,15840,19632,9115,-,6039,-,N,3842,10239,20779
18003000600,10573,11780,13785,8693,-,-,5893,1962,4701,11913
18003000701,16291,19479,17021,N,6001,-,9877,1712,7293,21134
18003000704,26117,24444,13871,-,19743,-,17497,166560,12382,26310
18003000800,19496,20016,21530,N,12060,-,N,6753,5840,20564
18003000900,15072,15897,5400,N,-,-,N,N,7264,16189
18003001000,16481,16766,-,-,-,-,8898,N,8898,16766
18003001100,26466,29264,8069,-,5622,-,-,10748,31850,29049
18003001200,14427,20753,5773,N,-,-,-,321,N,21142
18003001300,13855,19589,10457,-,N,-,N,4495,5295,20141
18003001600,12111,14585,9796,-,-,-,11875,N,12117,14657
18003001700,10494,11367,9749,-,-,-,11695,-,11135,11848
18003002000,15858,17073,12457,N,N,-,15142,13501,11852,18602
18003002100,12994,17301,7206,-,N,-,6940,N,6228,17953
18003002200,17668,21877,8707,N,-,-,8238,7128,7246,23733
18003002300,13586,11173,15985,N,13647,-,7995,N,6983,13005
18003002500,18833,20740,15046,-,N,-,12854,N,11176,21140
18003002600,18384,22611,16945,-,N,-,11480,9284,11544,23713
18003002800,10189,10871,10624,-,-,-,7366,N,8112,13747
18003002900,9987,6257,11746,N,-,-,10687,2355,10005,6189
18003003000,11642,15480,11134,N,-,N,7966,N,8831,19379
18003003100,11793,14479,9157,-,-,-,24947,N,12792,16648
18003003200,22788,25508,15554,-,13585,-,-,11962,24162,25730
18003003301,17725,18170,20704,N,13939,-,6400,N,23650,17612
18003003304,18131,20724,10943,N,13120,-,11785,4794,10114,21363
18003003400,22391,23141,24421,N,22129,-,N,N,9448,23628
18003003500,15891,18095,11424,N,7117,-,22378,4877,9272,18509
18003003600,15858,19106,13505,N,N,N,10793,21796,9287,20192
18003003700,17888,18656,N,-,-,-,N,6176,8292,19980
18003003800,18653,20296,7944,-,-,-,36775,14774,21882,20791
18003003901,22775,23426,19448,-,N,-,4824,N,11935,23497
18003003902,21046,20974,21510,-,-,-,N,20300,19715,21064
18003004000,14485,11608,14735,N,N,-,26194,36713,8290,16039
18003004101,22681,23229,13152,N,43687,-,N,-,16138,23351
18003004103,21567,22563,23571,29131,22653,-,21804,5454,7080,22610
18003004300,12305,11966,12796,N,3823,-,14107,11493,10931,13491
18003004400,9932,12705,9676,N,-,-,12394,30,11729,14129
18003010100,19655,19721,25719,-,-,-,N,4516,7305,19721
18003010201,32896,33465,N,-,-,-,-,1376,43211,33385
18003010202,24520,24579,N,10845,16607,-,4734,N,3800,24579
18003010304,35180,35591,34209,-,19796,-,-,N,23114,35684
18003010305,34418,34761,72745,N,15992,-,N,27439,13430,35694
18003010306,29070,29169,N,-,24496,-,-,N,40427,29041
18003010307,26280,27146,16141,-,19725,-,N,4091,19077,27374
18003010308,28705,28994,30513,-,11756,-,N,27702,29617,29085
18003010400,32834,33404,25433,-,N,-,N,-,-,33404
