id,pov,pov.m,pov.f,non.pov,non.pov.m,non.pov.f,pov.white,pov.white.m,pov.white.f,non.pov.white,non.pov.white.m,non.pov.white.f,pov.black,pov.black.m,pov.black.f,non.pov.black,non.pov.black.m,non.pov.black.f,pov.native,pov.native.m,pov.native.f,non.pov.native,non.pov.native.m,non.pov.native.f,pov.asian,pov.asian.m,pov.asian.f,non.pov.asian,non.pov.asian.m,non.pov.asian.f,pov.pacific,pov.pacific.m,pov.pacific.f,non.pov.pacific,non.pov.pacific.m,non.pov.pacific.f,pov.other,pov.other.m,pov.other.f,non.pov.other,non.pov.other.m,non.pov.other.f,pov.mixed,pov.mixed.m,pov.mixed.f,non.pov.mixed,non.pov.mixed.m,non.pov.mixed.f,pov.whitenonhisp,pov.whitenonhisp.m,pov.whitenonhisp.f,non.pov.whitenonhisp,non.pov.whitenonhisp.m,non.pov.whitenonhisp.f,pov.hisp,pov.hisp.m,pov.hisp.f,non.pov.hisp,non.pov.hisp.m,non.pov.hisp.f
18001030100,453,272,181,4127,2144,1983,384,242,142,3994,2088,1906,25,0,25,24,5,19,0,0,0,0,0,0,0,0,0,12,0,12,0,0,0,0,0,0,0,0,0,48,25,23,44,30,14,49,26,23,384,242,142,3865,2021,1844,0,0,0,177,92,85
18001030200,684,321,363,4288,2254,2034,653,300,353,4023,2114,1909,11,11,0,0,0,0,0,0,0,60,44,16,0,0,0,9,0,9,0,0,0,0,0,0,20,10,10,70,9,61,0,0,0,126,87,39,584,268,316,3829,1995,1834,89,42,47,364,202,162
18001030300,1111,448,663,4303,2130,2173,1111,448,663,4005,1989,2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,30,10,0,0,0,258,111,147,1003,409,594,3829,1892,1937,108,39,69,451,223,228
18001030400,182,85,97,3079,1454,1625,182,85,97,3029,1420,1609,0,0,0,9,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,0,0,0,0,32,25,7,182,85,97,3029,1420,1609,0,0,0,41,34,7
18001030500,1365,656,709,4693,2394,2299,1365,656,709,4684,2385,2299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,1365,656,709,4676,2377,2299,0,0,0,8,8,0
18001030600,560,303,257,2945,1470,1475,543,293,250,2818,1381,1437,17,10,7,0,0,0,0,0,0,0,0,0,0,0,0,26,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,89,12,543,293,250,2792,1368,1424,0,0,0,26,13,13
18001030700,1141,462,679,4754,2307,2447,1121,442,679,4737,2296,2441,20,20,0,12,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,1064,428,636,4721,2282,2439,57,14,43,16,14,2
18003000100,387,134,253,2249,1188,1061,379,134,245,1969,1026,943,8,0,8,244,143,101,0,0,0,8,4,4,0,0,0,3,2,1,0,0,0,0,0,0,0,0,0,22,12,10,0,0,0,3,1,2,379,134,245,1881,938,943,0,0,0,88,88,0
18003000300,520,229,291,2853,1380,1473,295,109,186,2756,1328,1428,11,11,0,82,37,45,0,0,0,15,15,0,146,77,69,0,0,0,0,0,0,0,0,0,21,13,8,0,0,0,47,19,28,0,0,0,295,109,186,2713,1320,1393,40,13,27,43,8,35
18003000400,419,232,187,2174,1221,953,394,216,178,1949,1112,837,0,0,0,149,75,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,25,0,25,16,9,51,9,42,394,216,178,1920,1090,830,25,16,9,69,53,16
18003000500,857,379,478,1989,947,1042,316,67,249,1600,806,794,321,163,158,141,28,113,0,0,0,0,0,0,96,25,71,110,44,66,0,0,0,0,0,0,0,0,0,58,38,20,124,124,0,80,31,49,229,48,181,1451,747,704,87,19,68,262,107,155
18003000600,867,421,446,1952,1139,813,678,306,372,1551,838,713,71,52,19,89,81,8,0,0,0,43,34,9,0,0,0,0,0,0,0,0,0,0,0,0,73,29,44,30,20,10,45,34,11,239,166,73,639,278,361,1551,838,713,112,57,55,30,20,10
18003000701,819,360,459,2318,1110,1208,565,275,290,1815,925,890,53,13,40,52,0,52,19,12,7,0,0,0,161,60,101,7,7,0,0,0,0,0,0,0,0,0,0,137,88,49,21,0,21,307,90,217,395,240,155,1732,894,838,176,35,141,239,125,114
18003000704,287,148,139,1917,1052,865,130,60,70,1437,762,675,51,24,27,180,118,62,0,0,0,0,0,0,49,27,22,156,76,80,0,0,0,0,0,0,37,37,0,116,78,38,20,0,20,28,18,10,130,60,70,1304,720,584,16,16,0,249,120,129
18003000800,761,309,452,3510,1651,1859,697,269,428,3170,1474,1696,6,0,6,118,67,51,0,0,0,54,28,26,33,33,0,94,48,46,0,0,0,0,0,0,0,0,0,22,22,0,25,7,18,52,12,40,637,226,411,3095,1460,1635,77,50,27,90,29,61
18003000900,493,200,293,2511,1354,1157,406,187,219,2357,1293,1064,87,13,74,20,20,0,0,0,0,16,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,26,0,0,0,0,92,15,77,406,187,219,2292,1238,1054,0,0,0,107,81,26
18003001000,424,221,203,1109,612,497,424,221,203,1047,597,450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,15,39,0,0,0,8,0,8,424,221,203,1047,597,450,0,0,0,54,15,39
18003001100,322,216,106,1438,795,643,246,140,106,1283,735,548,46,46,0,73,39,34,0,0,0,0,0,0,0,0,0,64,21,43,0,0,0,0,0,0,0,0,0,0,0,0,30,30,0,18,0,18,246,140,106,1269,721,548,0,0,0,32,14,18
18003001200,469,254,215,295,175,120,230,113,117,275,165,110,71,49,22,20,10,10,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160,84,76,0,0,0,230,113,117,275,165,110,0,0,0,0,0,0
18003001300,131,25,106,722,434,288,28,6,22,273,174,99,85,19,66,283,160,123,0,0,0,0,0,0,0,0,0,9,0,9,0,0,0,0,0,0,0,0,0,38,10,28,18,0,18,119,90,29,28,6,22,273,174,99,0,0,0,157,100,57
18003001600,647,216,431,1055,489,566,253,82,171,785,320,465,227,58,169,176,118,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,12,36,65,41,24,119,64,55,29,10,19,227,69,158,771,306,465,74,25,49,79,55,24
18003001700,775,360,415,1044,669,375,62,32,30,275,186,89,566,266,300,492,296,196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,147,62,85,277,187,90,0,0,0,0,0,0,50,20,30,252,175,77,168,74,94,300,198,102
